# t = 0.004
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-9.9993938530073573e-02 7.7853082869346112e-04 0.0000000000000000e+00 9.9996969219108622e-01 -7.7855442497153250e-03 0.0000000000000000e+00 1.2122572433131392e-06 6.6693225685619491e-04 1 1.1756534324293818e+05 1.1887117653620572e-02 1.4501011590412487e+04 3.3845617620259943e-01 4.3471067337375160e+01 0.0000000000000000e+00 9.2875531132961364e-05 3.6056626012868351e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9969694120024530e-02 2.3354037244321859e-03 0.0000000000000000e+00 9.9972724074242336e-01 -2.3354745075476840e-02 0.0000000000000000e+00 3.6364778075064786e-06 6.7065534358991534e-04 1 1.1746667593633123e+05 1.1878149549951910e-02 1.4499817557903152e+04 3.1162451017675772e+00 1.3339452462439687e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6055874340336236e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9921211178196925e-02 3.8917103809932418e-03 0.0000000000000000e+00 9.9924239662958458e-01 -3.8918283337836097e-02 0.0000000000000000e+00 6.0598166756650933e-06 6.7803915580870791e-04 1 1.1739025468844814e+05 1.1877265442207238e-02 1.4497087027569953e+04 8.8561545936750932e+00 2.2738528994938036e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6046048943480582e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9848501459706529e-02 5.4470734581368247e-03 0.0000000000000000e+00 9.9851527740729051e-01 -5.4472385520018513e-02 0.0000000000000000e+00 8.4816862879621087e-06 6.8896396991747707e-04 1 1.1719095771986798e+05 1.1871864736018541e-02 1.4493352428774289e+04 1.7779866597123448e+01 3.2591685232817588e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6022941371177440e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9751582593664234e-02 7.0011158444022639e-03 0.0000000000000000e+00 9.9754605937199348e-01 -7.0013280393132482e-02 0.0000000000000000e+00 1.0901499440804746e-05 7.0326179351702146e-04 1 1.1689112971151728e+05 1.1841719665678714e-02 1.4489104773671706e+04 3.0278616126090633e+01 4.3140835610356169e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6026240899360268e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9630478078901685e-02 8.5534607485420102e-03 0.0000000000000000e+00 9.9633497751912925e-01 -8.5537199930533880e-02 0.0000000000000000e+00 1.3318669429206875e-05 7.2072802660539401e-04 1 1.1650830712902101e+05 1.1804514453166477e-02 1.4485418497773524e+04 4.6064696562985269e+01 5.3656033225053204e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6026441111885529e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9485217278273849e-02 1.0103731790877986e-02 0.0000000000000000e+00 9.9488232548614919e-01 -1.0104038022133452e-01 0.0000000000000000e+00 1.5732610189040749e-05 7.4113397311483442e-04 1 1.1600450878882782e+05 1.1753987440257971e-02 1.4478360455025704e+04 6.5092638863692429e+01 6.4092708066696855e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6031532504178585e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9315835411539710e-02 1.1651553094558151e-02 0.0000000000000000e+00 9.9318845548132195e-01 -1.1651906238305355e-01 0.0000000000000000e+00 1.8142736439133579e-05 7.6423869957156863e-04 1 1.1542084368294690e+05 1.1695779678589266e-02 1.4471026845120849e+04 8.7280455284757096e+01 7.4396359535572469e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6035957961072413e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9122373546822962e-02 1.3196549376691159e-02 0.0000000000000000e+00 9.9125377819832672e-01 -1.3196949347308512e-01 0.0000000000000000e+00 2.0548463823174056e-05 7.8979919991355033e-04 1 1.1475483997473033e+05 1.1634318561677398e-02 1.4461427091659200e+04 1.1250446332173834e+02 8.4504737721519382e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6033221297014607e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.8904878590654555e-02 1.4738346039336984e-02 0.0000000000000000e+00 9.8907876271668560e-01 -1.4738792739851667e-01 0.0000000000000000e+00 2.2949209051394654e-05 8.1757834817828114e-04 1 1.1400559379776765e+05 1.1567958359086932e-02 1.4449883693519814e+04 1.4070915982893104e+02 9.4425943944649089e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.6025644547390980e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
